Net_Passengers,2019 Total Housing Units,2019 Total Daytime Population,2019 Unemployment Rate,2014-2018 ACS Average Number of Vehicles,2014-2018 ACS HHs: Inc Below Poverty Level,2019 Median Household Income,Household Density,Daytime_Population_Density,Shape Area sqmi,2014-2018 ACS HHs: Inc Below Poverty Level,2014-2018 ACS HHs: Inc Below Poverty Level: Percent,primary_length,secondary_length,tertiary_length,walk_length,Undeveloped_Sq_Meters,Developed_OP_Sq_Meters,Developed_LI_Sq_Meters,Developed_MI_Sq_Meters,Developed_HI_Sq_Meters,Square_Meters_Residential,Square_Meters_Com_Ind_MU,Square_Meters_Other
-152,1685,29090,8.2,0,542,15859,1685,29090,1,542,43.67,0.003194174,0.003388128,0.002502882,0.001013968,7200,21600,243900,639000,1103400,75617.02756,400978.1456,62473.92408
-60,1779,29185,8.3,0,588,15599,1779,29185,1,588,43.65,0.004167034,0.003388128,0.002502882,0.001013968,7200,21600,239400,599400,1141200,78322.94249,437681.3581,58934.26522
-10,1766,28354,8.3,0,584,15637,1766,28354,1,584,43.58,0.004167034,0.003388128,0.002502882,0.001013968,7200,20700,242100,574200,1167300,69445.54649,452820.1991,50595.15961
-46,1465,20635,6.3,0,359,25302,1465,20635,1,359,34.82,0.004167034,0.003388128,0.001407704,0.001013968,7200,13500,198000,565200,1227600,61210.09737,468967.4199,49976.58274
-22,1272,21844,5.8,1.1,280,30854,1272,21844,1,280,32.26,0.004167034,0.003388128,0.001407704,0.001860492,7200,16200,144000,619200,1221300,53560.3673,488427.0953,43808.6143
-9,1278,26713,6.1,1.1,281,30108,1278,26713,1,281,31.9,0.004167034,0.003388128,0.001407704,0.000956618,13500,18900,170100,639900,1164600,50605.8924,473078.8454,43808.6143
-43,1265,28939,6.3,1.1,267,30013,1265,28939,1,267,31.23,0.003194174,0.003388128,0.002502882,0.000135852,18900,18000,183600,669600,1124100,51907.47325,487201.078,52147.7199
-1,1807,27195,6.5,0,449,25874,1807,27195,1,449,34.57,0.007374132,0.00141239,0.000639021,0.000108934,119700,82800,306900,715500,782100,50093.27502,312603.7443,74677.50723
0,1280,25045,5.1,1.1,231,32123,1280,25045,1,231,28.66,0.007374132,0.00141239,0.000639021,0.000108934,302400,96300,290700,650700,673200,50140.58952,267340.1159,64940.29291
0,1310,20452,5.8,1.1,234,32117,1310,20452,1,234,28.43,0.007374132,0.00141239,0.000639021,0.000108934,375300,65700,230400,664200,669600,53104.53072,248749.6774,64819.26406
0,1205,19481,5.9,1.1,204,32042,1205,19481,1,204,28.25,0.001456443,0.00141239,0.000639021,0.000108934,399600,72000,214200,649800,670500,54829.13153,257184.0301,64819.26406
0,1034,17189,5.9,1.1,200,31906,1034,17189,1,200,28.29,0.001456443,0.001636896,0.000639021,0.000108934,481500,110700,257400,599400,565200,59734.09769,249866.1718,37278.34395
0,1115,16419,6.2,1.1,208,31486,1115,16419,1,208,28.34,0.001456443,0.001636896,0.002187013,0.000108934,470700,126000,296100,650700,470700,58317.48575,245666.2652,20542.72889
-90,58,2120,18.5,1,15,23671,58,2120,1,15,31.25,0.002539036,0,0.003898335,0.004159403,574200,334800,324000,351900,419400,16527.8121,110057.9126,44211.82727
0,946,1800,17.4,0,245,21165,946,1800,1,245,30.51,0.002539036,0.027680965,0.004266229,0.000104051,75600,352800,871200,417600,287100,107743.2959,49004.5466,61268.7897
-614,946,1800,17.4,0,245,21165,946,1800,1,245,30.51,0.002539036,0,0.004266229,0.000104051,77400,352800,870300,422100,285300,108277.7251,49004.5466,61268.7897
0,983,1953,17.5,0,255,20966,983,1953,1,255,30.65,0.002539036,0,0.004266229,0.000104051,74700,352800,871200,417600,296100,104137.6073,47759.75662,61268.7897
322,983,1953,17.5,0,255,20966,983,1953,1,255,30.65,0.002539036,0,0.004266229,0.000104051,74700,352800,871200,417600,296100,104137.6073,47759.75662,61268.7897
75,58,2120,18.5,1,15,23671,58,2120,1,15,31.25,0.002539036,0,0.003898335,0.004159403,574200,334800,324000,351900,419400,16527.8121,110057.9126,44211.82727
23,608,9915,6.8,1.3,118,31466,608,9915,1,118,26.28,0.001456443,0.001636896,0.002187013,0.001155599,569700,140400,343800,630000,324000,38922.46596,256539.9658,18952.33349
1,962,11797,6,1.1,188,31924,962,11797,1,188,27.69,0.001456443,0.001636896,0.002187013,0.000108934,566100,138600,302400,621000,382500,40558.85101,219198.0527,20175.66116
3,1004,14734,6,1.1,191,32027,1004,14734,1,191,27.72,0.001456443,0.001636896,0.002187013,0.000108934,585900,116100,273600,591300,440100,43390.80724,223166.1795,32865.83398
3,1046,15928,5.8,1.1,192,33752,1046,15928,1,192,26.56,0.001456443,0.00141239,0.000639021,0.000108934,548100,73800,223200,620100,548100,57823.09226,203124.2203,63616.21445
-1,1183,17911,5.8,1.1,192,33532,1183,17911,1,192,26.63,0.007374132,0.00141239,0.000639021,0.000108934,520200,87300,252000,597600,557100,55649.04255,194636.3488,63616.21445
0,1188,18149,5.7,1.1,197,33572,1188,18149,1,197,26.88,0.007374132,0.00141239,0.000639021,0.000108934,503100,97200,262800,590400,560700,53789.38984,203946.2322,63616.21445
9,1190,21187,5.5,1,209,32441,1190,21187,1,209,28.02,0.007374132,0.00141239,0.000639021,0.000108934,487800,112500,269100,579600,557100,51843.29957,211628.7817,68114.99404
0,1268,22326,5,1.1,226,32232,1268,22326,1,226,28.46,0.007374132,0.00141239,0.000639021,0.000108934,378000,98100,285300,621000,629100,47281.46265,257953.9221,64940.29291
1384,1268,22326,5,1.1,226,32232,1268,22326,1,226,28.46,0.007374132,0.00141239,0.000639021,0.000108934,378000,98100,285300,621000,629100,47281.46265,257953.9221,64940.29291
2471,1807,27195,6.5,0,449,25874,1807,27195,1,449,34.57,0.007374132,0.00141239,0.000639021,0.000108934,117000,81900,308700,717300,783000,50860.30196,308444.9925,74677.50723
2376,1774,31490,6.6,0,444,25553,1774,31490,1,444,35.13,0.007374132,0.00141239,0.002113161,0.000108934,10800,53100,282600,716400,943200,55819.5418,416934.4394,74275.96096
794,1581,31031,6.7,0,404,24286,1581,31031,1,404,36.01,0.003194174,0.00141239,0.002113161,7.53E-05,9900,43200,267300,682200,1004400,69333.42112,421318.1473,77771.14224
98,1627,29632,7.9,0,509,16757,1627,29632,1,509,42.35,0.003194174,0.003388128,0.002502882,0.001013968,7200,22500,239400,632700,1103400,76568.13,409196.7797,69389.62103
2746,1685,29090,8.2,0,542,15859,1685,29090,1,542,43.67,0.003194174,0.003388128,0.002502882,0.001013968,7200,21600,243900,639000,1103400,75617.02756,400978.1456,62473.92408
100,1779,29185,8.3,0,588,15599,1779,29185,1,588,43.65,0.004167034,0.003388128,0.002502882,0.001013968,7200,21600,239400,599400,1141200,78322.94249,437681.3581,58934.26522
80,1766,28354,8.3,0,584,15637,1766,28354,1,584,43.58,0.004167034,0.003388128,0.002502882,0.001013968,7200,20700,242100,574200,1167300,69445.54649,452820.1991,50595.15961
2449,1465,20635,6.3,0,359,25302,1465,20635,1,359,34.82,0.004167034,0.003388128,0.001407704,0.001013968,7200,13500,198000,565200,1227600,61210.09737,468967.4199,49976.58274
33,1272,21844,5.8,1.1,280,30854,1272,21844,1,280,32.26,0.004167034,0.003388128,0.001407704,0.001860492,7200,16200,144000,619200,1221300,53560.3673,488427.0953,43808.6143
-10,1278,26713,6.1,1.1,281,30108,1278,26713,1,281,31.9,0.004167034,0.003388128,0.001407704,0.000956618,13500,18900,170100,639900,1164600,50605.8924,473078.8454,43808.6143
33,1265,28939,6.3,1.1,267,30013,1265,28939,1,267,31.23,0.003194174,0.003388128,0.002502882,0.000135852,18900,18000,183600,669600,1124100,51907.47325,487201.078,52147.7199
162,1265,27653,6.2,1.1,267,30013,1265,27653,1,267,31.19,0.003194174,0.003388128,0.002113161,0.000514863,20700,17100,185400,678600,1107000,54303.66225,490846.6103,52147.58641
53,1167,20036,6.3,1.1,288,29041,1167,20036,1,288,32.69,0.003194174,0.003388128,0.001407704,0.000514863,25200,24300,210600,720000,1026900,61975.46538,472045.7056,44550.56166
261,1257,16615,6.5,1.2,319,29062,1257,16615,1,319,32.12,0.006043882,0.003388128,0.001407704,0.000514863,28800,27900,254700,727200,973800,73224.4675,406686.2623,40248.06925
-132,1118,8175,6.6,1.4,239,27481,1118,8175,1,239,32.38,0.003167995,0.001185733,0.002187013,0.000514863,22500,35100,379800,796500,774900,93461.32923,343545.2155,32333.90694
443,1157,6809,6.5,1.4,254,27338,1157,6809,1,254,31.75,0.003167995,0.010508902,0.002187013,0.000514863,18000,59400,458100,815400,655200,103141.2707,273908.4294,26756.32996
31,1210,6612,6.5,1.4,258,27301,1210,6612,1,258,31.58,0.021879918,0.010508902,0.002187013,0.000514863,14400,121500,492300,804600,580500,104900.7573,253657.6669,25790.1279
72,1197,5436,6.5,1.4,256,27435,1197,5436,1,256,31.57,0.021879918,0.010508902,0.002187013,0.000514863,8100,189900,512100,806400,496800,105939.7424,240191.7657,26401.22242
-27,1060,3786,6.5,1.4,244,27824,1060,3786,1,244,31.4,0.021879918,0.010508902,0.001995961,0.003245181,,254700,512100,783000,459900,103267.562,227919.5197,24965.4326
53,1044,3554,6.4,1.4,246,28380,1044,3554,1,246,30.9,0.021879918,0.010508902,0.001995961,0.001779624,,356400,514800,729900,412200,86683.20937,178943.6658,25983.15033
-34,883,2556,6,1.4,171,30894,883,2556,1,171,27.99,0.022493776,0.020014971,0.000770826,0.001295101,,470700,607500,623700,309600,103067.1405,127465.2589,26141.55794
-2,852,2621,5.8,1.4,150,31815,852,2621,1,150,26.27,0.022493776,0.020014971,0.000770826,0.001295101,,461700,622800,605700,319500,106315.098,128747.345,33304.86316
51,911,2796,5.6,1.4,154,31562,911,2796,1,154,25.41,0.022493776,0.020014971,0.000770826,0.001295101,2700,434700,617400,621900,329400,113131.4936,137918.9289,33360.0506
-7,1008,2984,5.5,1.4,181,31080,1008,2984,1,181,26.19,0.022493776,0.020014971,0.011284411,0.001295101,13500,387900,642600,624600,343800,134568.8265,151312.8365,30575.05577
-12,1169,3106,5,1.4,218,30367,1169,3106,1,218,26.59,0.022493776,0.020014971,0.011284411,0.001295101,17100,336600,710100,639000,305100,154721.5075,141245.7047,23920.22377
-21,1383,3360,4.8,1.4,267,29633,1383,3360,1,267,27.3,0.022493776,0.020014971,0.011284411,0.001295101,17100,250200,780300,678600,287100,180519.916,140127.4871,21638.21877
12,1672,3488,4.8,1.4,342,28571,1672,3488,1,342,28.43,0.022493776,0.020014971,0.011284411,0.001295101,17100,158400,857700,715500,262800,211510.467,136554.2844,20660.90628
-74,1811,3935,5.3,1.4,378,28131,1811,3935,1,378,28.79,0.022493776,0.020014971,0.011284411,0.001295101,17100,86400,918000,732600,256500,238109.3536,135942.4607,20776.33533
28,1895,3951,5.5,1.4,411,27495,1895,3951,1,411,29.44,0.021879918,0.020014971,0.011284411,0.001499191,17100,56700,945000,740700,243900,250029.0689,149108.6701,17690.22978
333,1854,5195,5.7,1.4,419,26662,1854,5195,1,419,30.45,0.021879918,0.011148375,0.011284411,0.001499191,17100,47700,917100,787500,245700,247080.4734,149812.3206,15453.36182
0,1820,5210,5.9,1.4,421,26662,1820,5210,1,421,30.62,0.021879918,0.011148375,0.000936545,0.001499191,17100,44100,909900,808200,234000,242218.0345,147450.0035,6508.187936
182,1820,5210,5.9,1.4,421,26662,1820,5210,1,421,30.62,0.021879918,0.011148375,0.000936545,0.001499191,17100,44100,909000,808200,234000,242218.0345,147450.0035,6508.187936
126,1658,4955,5.9,1.4,389,26014,1658,4955,1,389,31.02,0.021879918,0.011148375,0.000936545,0.001499191,17100,63000,853200,841500,230400,225302.2741,144673.6265,7709.673146
-2,1497,5091,6.3,1.4,352,25997,1497,5091,1,352,31.21,0.021879918,0.011148375,0.000756953,0.001421099,17100,105300,815400,851400,225000,217109.8662,144619.8545,4890.090555
58,1322,4785,6.8,1.4,308,26238,1322,4785,1,308,30.89,0.002749748,0.011148375,0.001107313,0.001421099,13500,146700,864000,777600,209700,210995.0492,141146.8906,4194.748312
24,1178,4304,7.1,1.3,263,26730,1178,4304,1,263,29.58,0.002749748,0.011148375,0.001124334,0.001421099,39600,264600,825300,680400,196200,193180.2032,124143.9842,3566.563647
226,1052,4178,7.2,1.3,240,26439,1052,4178,1,240,29.85,0.002749748,0.011148375,0.001124334,0.001421099,56700,327600,797400,640800,184500,187282.5526,121965.1198,3874.638184
53,827,3228,6.1,1.4,152,30555,827,3228,1,152,23.31,0.002749748,0.000522074,0.001124334,0.000524189,142200,755100,669600,367200,78300,166295.1462,81944.21617,2660.648229
-165,1211,1895,4.3,1.5,163,39041,1211,1895,1,163,17.85,0.002749748,0.001464005,0.000912353,0.000175844,192600,1167300,461700,122400,61200,156788.4808,22742.30688,1295.805825
-59,1381,1678,4.1,1.5,185,39740,1381,1678,1,185,17.34,0.002749748,0.011330866,0.000912353,0.000175844,191700,1176300,463500,114300,69300,162856.6049,24597.65428,1295.805825
-14,1524,1702,3.7,1.5,202,41221,1524,1702,1,202,17.24,0.002749748,0.011330866,0.000912353,0.000175844,161100,1158300,499500,89100,97200,148661.4531,41676.14875,692.9563566
-76,1778,2321,3.8,1.5,241,41543,1778,2321,1,241,17.64,0.001406118,0.011330866,0.000912353,0.000175844,122400,1107000,547200,127800,110700,138252.1422,51741.02086,615.5566617
-571,1757,2306,3.7,1.5,237,41822,1757,2306,1,237,17.5,0.001406118,0.011330866,0.000912353,0.000175844,89100,1106100,563400,134100,117000,140118.454,52674.93783,615.5566617
0,1443,1969,3.6,1.5,199,42659,1443,1969,1,199,17.7,0.031285028,0.011330866,0.000912353,0.000175844,45000,1139400,569700,137700,125100,136493.1014,54894.205,426.3134536
315,1443,1969,3.6,1.5,199,42659,1443,1969,1,199,17.7,0.031285028,0.011330866,0.000912353,0.000175844,45000,1139400,569700,137700,125100,136493.1014,54894.205,426.3134536
97,1541,2253,3.6,1.5,215,43049,1541,2253,1,215,17.64,0.031285028,0.011330866,0.000912353,0.000175844,27000,1108800,602100,135900,140400,134646.0479,59343.36225,385.3394096
-93,1354,2026,3.8,1.5,195,43351,1354,2026,1,195,18.12,0.031285028,0.011330866,0.00056865,0.000175844,21600,1064700,649800,146700,136800,134990.1896,64214.53514,211.2510005
-97,1375,2050,3.9,1.5,194,44180,1375,2050,1,194,17.67,0.031285028,0.011330866,0.007924951,0.000175844,19800,1061100,641700,163800,126000,132233.5857,67113.04759,211.2510005
-45,1383,1844,3.6,1.6,183,46002,1383,1844,1,183,16.88,0.031285028,0.011330866,0.007924951,0.000474935,28800,1040400,670500,154800,116100,136040.4229,65546.97546,95.30041591
-98,1267,1910,3.3,1.6,155,49072,1267,1910,1,155,15.78,0.031285028,0.011330866,0.007924951,0.000474935,31500,978300,724500,163800,108000,136540.6763,70578.21814,95.30041591
-35,1076,1596,3.4,1.7,112,52090,1076,1596,1,112,13.25,0.031285028,0.008500042,0.007924951,0.000474935,18000,928800,791100,182700,91800,148082.8501,59362.72709,95.30041591
4,1135,1700,3.4,1.7,114,52642,1135,1700,1,114,12.5,0.031285028,0.008500042,0.007924951,0.000474935,15300,881100,846000,182700,87300,149185.3626,64159.86094,245.2361552
20,1180,1873,3.7,1.8,109,52523,1180,1873,1,109,11.15,0.031285028,0.006889439,0.007924951,0.000474935,1800,712800,985500,201600,107100,163901.4794,66946.51958,245.2361552
-4,1225,1985,4,1.8,120,50986,1225,1985,1,120,11.59,0.031285028,0.006889439,0.005078654,0.000474935,1800,673200,1021500,207000,105300,168765.7992,68032.60429,371.0522193
-56,1296,2123,4.2,1.8,123,49859,1296,2123,1,123,10.99,0.031285028,0.006889439,0.005078654,0.000474935,1800,656100,1030500,209700,108000,170758.641,65340.3299,1146.731967
-16,1272,2056,4.3,1.7,127,47515,1272,2056,1,127,11.51,0.031285028,0.006889439,0.005078654,0.002096612,1800,696600,1014300,195300,101700,172143.0884,66636.01409,1051.431551
-431,1335,2034,4.7,1.7,143,44300,1335,2034,1,143,12.4,0.031285028,0.006889439,0.005078654,0.002096612,1800,712800,1004400,180900,108000,172562.2299,63036.54334,1051.431551
-72,1403,2161,4.9,1.6,154,41965,1403,2161,1,154,12.83,0.031285028,0.006889439,0.003272886,0.002096612,1800,676800,990900,196200,140400,177584.9036,55860.11394,1640.310461
8,1371,2404,5,1.6,152,41035,1371,2404,1,152,12.91,0.031285028,0.006889439,0.003272886,0.002096612,1800,666900,966600,215100,157500,174750.9218,56236.4598,1640.310461
-215,1411,2453,5.3,1.6,164,39191,1411,2453,1,164,13.41,0.031285028,0.006889439,0.003272886,0.002096612,1800,624600,972900,237600,179100,169830.1737,124281.2927,1640.310461
-145,1222,3672,5.7,1.5,148,37109,1222,3672,1,148,13.83,0.031285028,0.006889439,0.003272886,0.002096612,2700,571500,883800,273600,280800,152020.2062,132827.7585,1490.374722
-10,1196,3804,5.8,1.5,146,36777,1196,3804,1,146,13.84,0.031285028,0.006889439,0.003272886,0.002096612,2700,538200,860400,275400,336600,143884.2917,142620.6911,1364.558658
-201,1076,3719,6,1.5,135,35960,1076,3719,1,135,14.24,0.031285028,0.006889439,0.001998092,0.002096612,4500,500400,833400,277200,396900,135895.5628,161667.5611,1364.558658
-111,868,4106,6.1,1.5,108,35760,868,4106,1,108,13.88,0.019281395,0.014333681,0.004650225,0.002096612,25200,504000,687600,279000,513900,106460.8129,189334.3451,1364.558658
-211,773,4220,6.1,1.5,96,35757,773,4220,1,96,13.97,0.00126368,0.014333681,0.004650225,0.002096612,41400,515700,661500,282600,512100,96275.40522,179392.2799,1364.558658
-566,433,4429,6.4,1.5,54,35280,433,4429,1,54,13.11,0.001285505,0.004180816,0.004650225,0.002096612,161100,468900,540000,301500,543600,67487.67789,175236.4019,1430.26696
-368,306,4203,6.3,1.5,39,35575,306,4203,1,39,13.49,0.001285505,0.004180816,0.004650225,0.00212773,189000,334800,570600,341100,568800,51455.52948,192811.5768,841.3880498
-85,250,4086,6.2,1.5,32,35297,250,4086,1,32,13.5,0.001285505,0.004180816,0.004650225,0.00212773,308700,270000,522000,346500,567000,37114.41534,188130.2155,841.3880498
-799,180,4015,6,1.5,23,35565,180,4015,1,23,13.69,0.00126368,0.004180816,0.004650225,0.00212773,474300,229500,437400,323100,542700,20574.21476,183579.9457,
-6,136,3735,5.7,1.5,17,36269,136,3735,1,17,15.32,0.019281395,0.014333681,0.004650225,0.015475867,517500,211500,440100,315900,519300,19870.85969,183302.6845,
-2300,95,3875,3.1,1.6,16,39147,95,3875,1,16,17.98,0.001285505,0,0.004650225,0.00212773,566100,368100,261000,319500,489600,4471.390125,188018.522,841.3880498
0,65,3644,5.8,1.5,9,35000,65,3644,1,9,13.64,0.001285505,0.010255542,0.004650225,0.00212773,443700,358200,299700,340200,569700,10942.09203,194278.2941,841.3880498
-1,65,3644,5.8,1.5,9,35000,65,3644,1,9,13.64,0.001285505,0.010255542,0.004650225,0.00212773,443700,358200,299700,340200,569700,10942.09203,194278.2941,841.3880498
-11,176,4206,6.8,1.5,22,34840,176,4206,1,22,11.83,0.015764954,0.000472723,0.000685034,0.00212773,440100,401400,308700,268200,589500,29362.63637,208044.4987,841.3880498
-23,301,2081,4.1,1.4,50,33703,301,2081,1,50,21.83,0.015764954,0.000472723,0.007513605,0.00212773,598500,433800,297900,236700,439200,23013.32726,113366.5162,1350.966758
-6,344,2582,3.2,1.4,59,33697,344,2582,1,59,24.79,0.015764954,0.000472723,0.007513605,0.00212773,611100,425700,343800,242100,383400,21673.97803,104448.6349,1485.525056
-207,381,1596,2.7,1.4,67,33913,381,1596,1,67,25.77,0.015764954,0.000472723,0.007513605,0.00212773,555300,477000,418500,242100,322200,32560.21554,104041.6163,1485.525056
15,611,2042,2.3,1.4,107,34043,611,2042,1,107,26.16,0.015764954,0.000472723,0.007513605,0,234000,516600,586800,319500,351000,62745.59008,105562.6919,1533.502776
-88,831,2989,2.4,1.4,148,33720,831,2989,1,148,26.71,0.015764954,0.009045676,0.007513605,0,100800,426600,662400,452700,364500,71284.67643,138402.4598,15551.62318
-58,1049,3579,2.4,1.4,184,34189,1049,3579,1,184,25.88,0.015764954,0.009045676,0.003866491,0,108900,399600,675000,480600,343800,75547.77458,150990.2625,16931.74331
-37,1184,3532,2.3,1.4,207,35060,1184,3532,1,207,24.73,0.015764954,0.009045676,0.003866491,0,103500,409500,689400,490500,317700,80512.58298,155639.4184,21710.43288
-26,974,3909,2.3,0,167,35545,974,3909,1,167,23.76,0.015764954,0.009045676,0.003866491,0,134100,449100,693000,467100,266400,84258.58083,144998.8882,26422.32476
-111,811,3877,1.9,0,102,37742,811,3877,1,102,17.41,0.015764954,0.00337019,0.003866491,0,261000,400500,514800,509400,319500,54857.86767,158477.5362,24783.78335
-114,838,3364,1.8,1.6,76,39584,838,3364,1,76,12.79,0.015764954,0.00337019,0.003866491,0,222300,394200,532800,548100,316800,58822.61034,176070.3663,24726.0937
-186,818,3577,1.6,1.7,53,43792,818,3577,1,53,9.17,0.024050494,0.00337019,0.003866491,0,201600,352800,578700,560700,318600,71944.35676,167075.3224,16158.61269
-186,448,2211,1.2,1.8,13,56811,448,2211,1,13,4.3,0.024050494,0,0.004490202,0,150300,531000,630900,490500,209700,74612.16263,134865.6696,2410.620564
-12,529,2196,0.8,1.9,14,64766,529,2196,1,14,3.76,0.024050494,0,0.004490202,0,194400,582300,618300,433800,185400,74590.9209,130052.4506,
7,673,1814,0.2,1.7,25,58719,673,1814,1,25,4.31,0.024050494,0.013118251,0.004490202,0,258300,807300,605700,255600,87300,113926.2518,70786.69516,
-46,633,1539,0.3,1.6,29,52228,633,1539,1,29,5.11,0.024050494,0.013118251,0.004490202,0,257400,851400,612000,200700,90900,121317.7379,62689.19827,86.53433098
-23,694,2194,0.2,1.6,29,54716,694,2194,1,29,4.77,0.024050494,0.013118251,0.004490202,0,248400,779400,598500,252000,136800,120653.4679,73291.55,342.5986533
-62,591,2311,0.4,1.6,27,52253,591,2311,1,27,5.12,0.027942075,0.013118251,0.004490202,0,157500,682200,576000,351900,243900,112857.8605,100766.3462,1489.937328
-157,594,2582,0.5,1.6,27,52137,594,2582,1,27,5.1,0.027942075,0.013118251,0.004490202,0,144000,615600,568800,395100,282600,115064.0703,108250.0474,1489.937328
-142,536,2965,0.5,1.6,27,49085,536,2965,1,27,5.62,0.027942075,0.013118251,0.001592745,0,122400,540900,552600,476100,315000,128566.5656,112184.8646,1489.937328
-224,510,2944,0.4,1.6,25,50183,510,2944,1,25,5.52,0.027942075,0.013118251,0.001592745,0,103500,477000,549000,545400,335700,132974.3356,115169.6647,1489.937328
-265,629,3572,0.6,1.6,19,49122,629,3572,1,19,5.37,0.027942075,0.013118251,0.002619677,0,100800,467100,483300,617400,344700,127622.2983,121875.5507,1827.985303
16,566,3462,0.7,1.6,15,48789,566,3462,1,15,5.3,0.027942075,0.013118251,0.002619677,0,98100,426600,465300,651600,361800,115816.2541,126221.0265,1404.944175
41,1543,21365,6.9,0,428,20757,1543,21365,1,428,37.78,0.004167034,0.003388128,0.001407704,0.001013968,7200,18000,222300,551700,1206900,66267.76889,456346.5755,49976.58274
0,1360,18779,5.8,0,302,28458,1360,18779,1,302,31.3,0.004167034,0.003388128,0.001407704,0.001013968,7200,11700,190800,593100,1210500,76150.67786,446837.3467,45271.20195
2,1006,14398,3.4,1.3,159,43564,1006,14398,1,159,19.56,0.004167034,0.003388128,0.001407704,0.001238184,5400,3600,162900,606600,1224900,63671.2976,449225.1289,50057.60872
-1,1067,11227,3,1.3,159,44687,1067,11227,1,159,18.53,0.004167034,0.003388128,0.001407704,0.001238184,2700,10800,189900,570600,1230300,69402.8211,434079.5445,42931.88614
0,832,10272,2.2,1.5,78,49784,832,10272,1,78,12.85,0.004167034,0.003388128,0.001407704,0.001238184,1800,18900,225900,579600,1188000,76179.27347,412761.2468,41169.65801
0,771,5140,2.1,1.5,77,51159,771,5140,1,77,12.81,0.004167034,0.003388128,0.001407704,0.001238184,7200,20700,290700,660600,1030500,68635.22107,352050.7073,20037.69903
0,963,3931,2,1.3,143,42149,963,3931,1,143,19.22,0.004167034,0.003388128,0.001407704,0.001238184,12600,29700,366300,723600,879300,74632.28962,290314.0837,16844.76887
0,953,3688,1.9,1.3,137,43116,953,3688,1,137,18.74,0.004167034,0.003388128,0.001407704,0.000595023,20700,46800,394200,755100,789300,74030.78119,282135.2195,16128.45801
-1,957,3608,1.8,1.3,157,40148,957,3608,1,157,21.02,0.004167034,0.003388128,0.001407704,0.000595023,31500,72900,458100,735300,714600,73693.77342,240823.4589,12895.08351
0,721,807,3.6,1.8,31,56506,721,807,1,31,5.68,0,0.002789119,0.007737722,0.000936649,66600,795600,793800,276300,80100,153281.3092,17821.61376,2555.293403
0,1211,2360,3.5,1.8,64,56837,1211,2360,1,64,5.79,0,0.009817495,0.005219772,0.000936649,62100,783900,799200,281700,82800,169428.5938,18987.89567,2246.783736
0,1329,2851,3.3,1.8,66,57919,1329,2851,1,66,5.49,0,0.01617608,0.005219772,0.000936649,37800,772200,788400,315900,92700,173756.843,43693.56167,2047.571178
0,1189,2734,3.1,1.8,52,57973,1189,2734,1,52,5.19,0,0.01617608,0.005219772,0.000936649,60300,726300,720900,390600,116100,173065.0708,83427.11168,149.7042746
0,1438,2863,2.6,1.7,66,57067,1438,2863,1,66,5.5,0,0.01617608,0.00168858,0.000936649,83700,719100,679500,410400,118800,164693.9629,85264.88641,326.3587089
0,1681,2064,1.6,1.6,78,55341,1681,2064,1,78,6.05,0,0.01617608,0.00168858,0.000936649,171000,634500,615600,454500,132300,157183.0156,82657.15805,671.822755
0,1657,2033,1.6,1.5,77,55311,1657,2033,1,77,6.1,0,0.01617608,0.00168858,0.000936649,257400,603000,558900,447300,144900,132209.1401,89079.23324,402.0609387
0,1596,3425,0.8,1.6,74,54969,1596,3425,1,74,5.26,0,0.01617608,0.00168858,0.000545673,296100,617400,542700,407700,147600,118272.673,96110.69376,857.5893876
-2,868,1273,1,1.5,50,53917,868,1273,1,50,6.64,0,0.011289597,0.00168858,0.000545673,479700,697500,398700,315000,114300,80756.99196,79011.94126,1392.120722
-47,920,1420,1.4,1.5,58,53825,920,1420,1,58,7.28,0,0.011289597,0.003806057,0.000545673,588600,658800,337500,276300,144000,61742.58746,85081.18142,6556.881346
-2,192,2620,2.4,1.8,8,57898,192,2620,1,8,4.21,0,0.000797231,0.007120026,0,13500,483300,590400,516600,404100,119401.7894,234792.06,4581.703722
-17,151,6430,2.7,1.8,10,56712,151,6430,1,10,7.46,0,0.000797231,0.007120026,0,54900,294300,378000,594000,683100,69886.05043,269122.5017,7285.346811
0,1035,3321,1,1.2,67,40390,1035,3321,1,67,8.86,0.027942075,0.020985371,0.002619677,0,71100,465300,507600,622800,335700,119697.9074,117328.0501,2263.784495
0,1145,2917,1,1.3,76,41484,1145,2917,1,76,8.91,0.027942075,0,0.000641853,0,150300,600300,633600,460800,162900,141685.9194,57256.94081,3756.154804
0,1200,2757,1.2,1.4,94,45657,1200,2757,1,94,8.53,0.027942075,0,0.001182745,0,234900,624600,674100,367200,115200,127496.7714,57028.44568,5102.976714
0,306,2695,1.5,1.8,18,54390,306,2695,1,18,6.84,0.003582622,0.001773408,0.001182745,0,235800,608400,549000,413100,199800,49108.9966,105695.732,6977.252638
0,667,3362,2.6,1.5,63,57377,667,3362,1,63,12.8,0.000635077,0.00294398,0.002264977,0.003215742,158400,524700,606600,477900,241200,46652.91411,93263.4156,3295.510867
0,667,3362,2.6,1.5,63,57377,667,3362,1,63,12.8,0.000635077,0.00294398,0.002264977,0.003215742,158400,524700,606600,477900,241200,46652.91411,93263.4156,3295.510867
-16,322,2807,1.4,1.8,19,54360,322,2807,1,19,6.81,0.003582622,0.001773408,0.001182745,0,236700,608400,540900,414000,206100,50102.01212,104522.3325,6977.252638
