Net_Passengers,2019 Total Housing Units,2019 Total Daytime Population,2019 Unemployment Rate,2014-2018 ACS Average Number of Vehicles,2014-2018 ACS HHs: Inc Below Poverty Level,2019 Median Household Income,Household Density,Daytime_Population_Density,Shape Area sqmi,2014-2018 ACS HHs: Inc Below Poverty Level,2014-2018 ACS HHs: Inc Below Poverty Level: Percent,primary_length,secondary_length,tertiary_length,walk_length,Undeveloped_Sq_Meters,Developed_OP_Sq_Meters,Developed_LI_Sq_Meters,Developed_MI_Sq_Meters,Developed_HI_Sq_Meters,Square_Meters_Residential,Square_Meters_Com_Ind_MU,Square_Meters_Other
-8,909,1710,15.1,1.1,358,17176,909,1710,1,358,43.66,0,0.007839761,0.004158975,0,108900,485100,817200,446400,145800,70241.97897,102547.03,38303.38492
105,782,2077,14.2,1.2,315,17083,782,2077,1,315,43.93,0.002026689,0.001942225,0.004158975,0,121500,459000,740700,492300,199800,61846.78166,107487.2564,43023.32207
150,565,2016,11.1,1.2,247,16709,565,2016,1,247,44.42,0.002026689,0.001942225,0.004158975,0.000691367,129600,459900,648900,517500,255600,51102.68497,113304.265,37386.35777
55,706,2314,10.4,1.3,268,18038,706,2314,1,268,40.98,0.002026689,0.001942225,0.004158975,0.000691367,158400,567000,649800,450900,183600,57310.16227,110056.5493,30523.97994
-43,729,1952,10.1,1.3,258,18790,729,1952,1,258,39.33,0.002026689,0.001942225,0.004158975,0.000691367,191700,641700,645300,386100,143100,64746.16274,97656.94299,25725.38732
93,661,2269,6.3,1.4,196,21442,661,2269,1,196,35,0.002026689,0.001942225,0.004432395,0.000691367,210600,708300,621000,346500,123300,65017.43159,95007.31742,20850.09801
4,571,2102,4.4,1.5,142,25750,571,2102,1,142,30.08,0.002026689,0.001942225,0.001514653,0.000691367,255600,761400,572400,307800,108000,62968.29557,81152.87827,13570.83442
131,550,2043,2.4,1.6,123,28411,550,2043,1,123,27.03,0.002026689,0.001942225,0.001514653,0.000691367,343800,760500,526500,278100,105300,62085.46972,72300.57102,12371.97098
-19,484,1773,1.5,1.6,88,34757,484,1773,1,88,22,0.002026689,0.001942225,0.001514653,0.000691367,533700,730800,443700,223200,74700,54662.96361,63956.42848,5416.66221
0,443,2244,1.4,1.6,115,26196,443,2244,1,115,29.87,0.002026689,0.001942225,0.001586014,0.000691367,332100,665100,478800,348300,183600,45808.20322,103882.5496,12371.97098
0,443,2244,1.4,1.6,115,26196,443,2244,1,115,29.87,0.002026689,0.001942225,0.001586014,0.000691367,332100,665100,478800,348300,183600,45808.20322,103882.5496,12371.97098
8,405,2094,1.2,1.6,96,28438,405,2094,1,96,27.59,0.002026689,0.001942225,0.001586014,0.000691367,488700,608400,419400,314100,174600,39125.41212,96435.62058,11674.99478
0,338,2158,1.3,1.5,101,22863,338,2158,1,101,33.44,0.002026689,0.001942225,0.001586014,0.000691367,316800,542700,470700,427500,255600,36228.32635,110284.2719,16297.72253
